reminder,reply,intent,dpd,amount,loan,tone,region,ptp_date,ptp_amount,dispute_type,excuse_type,cibil_mentioned,legal_mentioned
"₹12000 ka bike loan EMI pending hai, 89 days se due hai. Late fees bhi lag rahi hai. Kuch karein, nahi to legal action lena padega.","Kay karun, paise nahi hai, abhi kuch nahi kar sakta",refusal,89,12000,bike loan EMI,desperate,mumbai,,,,financial constraint,False,True
"Vivek ji aapka ₹12000 business loan EMI 6 din se overdue hai. Aap ₹12000 jaldi se pay karein, nahi to late fees increase hogi.","sir, abhi paisa nahi hai, next month ₹18000 pay kar dunga, sorry",needs_more_time,6,12000,business loan EMI,evasive,bangalore,next month,18000,,no money,False,False
"Vikas ji, aapka ₹10000 ka EMI 57 din se overdue hai. Late fees lag rahi hai. Aapki CIBIL score par impact padega.","Yaar, abhi thoda problem hai. 1 week aur do, pakk settle kar dunga",needs_more_time,57,10000,business loan EMI,resigned,delhi,1 week,10000,,vague timeline,True,False
"Arre Amit ji, ₹10000 EMI 43 din ho gaye due. Aapka CIBIL score affect ho sakta hai. UPI se abhi karein: rzp.io/pay. Late fees bhi lag raha hai.","Bhai sorry 🤦‍♂️, kal office mein busy tha, aaj raat ko zaroor kar dunga. ₹8500 full kar dunga",promise_to_pay,43,10000,credit line EMI,polite,mumbai,today,10000,,busy,True,False
"Amit ji, ₹8000 ka EMI 80 din ho gaye. Bol, late fees lag raha hai. UPI se kar dein: rzp.io/pay","Bhai kal pakka kar dunga, aaj office mein busy tha",promise_to_pay,80,8000,BNPL payment,polite,delhi,kal,8000,,office,False,False
"Amit ji, ₹6000 EMI 3 din overdue. CIBIL affect hoga. Abhi karein: rzp.io/pay","bhai thoda intezar karna padega, salary aane wali hai, phir kar dunga 🙏",promise_to_pay,3,6000,personal loan EMI,cooperative,pune,salary aane wali hai,6000,,awaiting_salary,True,False
"Amit ji, aapki bike loan EMI ₹10000 57 din se overdue hai. RBI guidelines ke mutabiq, aapko legal notice bheja jayega. Turant payment karein: rzp.io/pay","Bhai kuch nahi ho sakta, maine paise nahi hain, aap logon ko samjhana chahiye",promise_to_pay,57,10000,bike loan EMI,angry,delhi,,,,paise nahi hain,False,True
"Manoj ji, ₹5500 ki EMI 57 din se due hai. Bekku, UPI se kar dein: rzp.io/pay",Abhi nahi ho payega. Office mein busy hoon,promise_to_pay,57,5500,mobile loan EMI,evasive,bangalore,,,,busy,False,False
"Bhai, ₹9500 ka EMI miss ho gaya. Turant payment karein, nahi toh CIBIL score par asar padega. Settlement option bhi hai, agar aap interested hain.","abhi thoda time do, maine 10 din pehle UPI kar diya tha, aapke system mein lagta hai issue hai",dispute,58,9500,personal loan EMI,cooperative,chennai,,,payment issue,technical issue,True,False
Amit ji ₹8000 EMI miss ho gayi. Payment link: ...,"Enti, anna ₹8000 amount extra hai. Mera loan ₹7000 ka tha. Extra charges kyun?",dispute,10,8000,mobile loan EMI,angry,hyderabad,,,incorrect amount,extra charges,False,False
"Re, Karan ji, aapka ₹18000 ka BNPL payment due hai. Late fees bhi lagech. Jaldi karein.","Kya yeh amount sahi hai? Mera loan 4000 ka tha, extra charges kyun?",dispute,9,18000,BNPL payment,angry,pune,,,incorrect amount,billing error,False,False
"Namaste sir, ₹4500 EMI bohot der se pending hai. UPI maadtini ₹6000 abhi bhej sakte hain?","Illa sir, abhi full payment nahi ho payega. ₹6000 abhi aur ₹6000 20 tarikh ko",partial_payment,85,4500,credit line EMI,cooperative,bangalore,20,4500,,,False,False
"Hi Rohan bhai, ₹22000 ka EMI 9 din se overdue hai. Turant payment karein, late fees bhi lag rahi hai. UPI se payment link: upi://pay?pa=...&pn=...&tr=...","Yaar, abhi thoda stress hai, next month try karta hun. Sorry bhai 🤕 🙏",refusal,9,22000,mobile loan EMI,polite,delhi,,,,financial,False,False
"₹15000 ka EMI due hai, CIBIL score par bhi impact padega. Payment kar sakte hain?","Nahi anna, itna amount nai hai, aap kuch kam kar sakte hain?",dispute,16,15000,business loan EMI,worried,hyderabad,,12000,amount dispute,financial difficulty,True,False
"Anil ji, aapke bike loan EMI ke ₹4200 48 din se pending hain. Aapko maloom hona chahiye ki yeh aapke CIBIL score ko affect kar sakta hai. Pakka time kyun nahi de rahe?","yaar business mein problem chal raha, next month double kar duga",needs_more_time,48,4200,bike loan EMI,angry,delhi,next month,,,business constraint,True,False
"Bhai ₹6300 EMI miss ho gayi, CIBIL score kharab ho sakta hai. Turant payment karein.",Mujhe ₹2000 extra kyun le rahe hain? Mera loan ₹4100 ka tha. Late fees toh bilkul nahi dena hai.,dispute,82,6300,business loan EMI,angry,delhi,,,extra charges,incorrect charges,True,False
"Hi Neha, ₹4800 EMI 14 din ho gaye. Ab tak payment nahi aayi. UPI se kar dein: rzp.io/pay, late fees bhi lag sakti hai.","Enti boss, aaj hi kar dunga, sorry for the delay 🙏",promise_to_pay,14,4800,credit line EMI,worried,hyderabad,today,4800,,delay,False,False
Sir ₹4500 ki EMI aapki 48 din se pending hai. Kab tak kar rahe hain payment? Agar payment na kiya to legal notice bhejna padega.,"dekho sir, maine ₹2000 abhi karta hoon, ₹2500 next month, settlement ho sakta hai?",dispute,48,4500,credit line EMI,resigned,chennai,next month,2500,partial payment,financial difficulty,False,True
"Arjun ji, ₹20000 EMI 72 days overdue. CIBIL affect hoga. UPI se abhi karein: rzp.io/pay","boss, ₹20000 nahi ho sakta. ₹15000 karunga. Kab tak karunga bolun? 🤕",promise_to_pay,72,20000,business loan EMI,desperate,hyderabad,,15000,,financial constraint,True,False
Arre Arjun ji ₹22000 bike loan EMI pending hai 29 days se. Aapka CIBIL score kharab ho jayega. Kab tak karoge payment?,"Nako re, thoda time do. Main is hafte mein kar dunga 🤞",refusal,29,22000,bike loan EMI,stressed,mumbai,,,,time_request,True,False
"Ankit ji, ₹15000 ka mobile loan EMI 9 din se pending hai. Late fees bhi lag rahi hai. Turant payment karein, UPI link: upi://pay?pa=...&pn=...&tr=...","Yaar, settlement karenge, 15000 de sakte hun. Pakka sun, zyada nahi de sakte",refusal,9,15000,mobile loan EMI,cooperative,delhi,,15000,partial payment,financial,False,False
"Rahul ji, aapka ₹15000 EMI pending hai. Agar aap payment nahi karte, toh CIBIL score kharab hoga.","Bhai, 5000 abhi bhejta hun. Baaki 2 hafte mein pakka karta hun 🤞",partial_payment,89,15000,bike loan EMI,desperate,delhi,14,5000,,,True,False
"Rahul ji, ₹4500 EMI kal due thi. Aaj tak payment nahi aayi. UPI se kar dein: rzp.io/pay 🙏","Bhai, account mein balance nahi hai. Monday ko transfer kar dunga",promise_to_pay,11,4500,personal loan EMI,evasive,bangalore,Monday,4500,,balance nahi hai,False,False
"Saurav ji, ₹3800 EMI 10 din ho gaye. Bol, abhi payment karein: upi://pay?...","Yaar, abhi ghar pe internet nahi hai, kal tak karwaunga, pakka 🙏",promise_to_pay,10,3800,mobile loan EMI,polite,delhi,kal,3800,,technical issue,False,False
"Hi Anna, aapke ₹20000 business loan EMI 78 din se pending hai. Aapko legal action ka samna karna pad sakta hai. Abhi payment kar dein: rzp.io/pay","Bhai, main aapko kuch nahi bol sakta. Aap apna kaam karein 🙏",promise_to_pay,78,20000,business loan EMI,angry,Hyderabad,,,,defensive,False,True
"Anil ji, ₹25000 ka EMI 28 din se pending hai. Aapka CIBIL score impact hoga. ₹25000 settle karne ke liye UPI maadtini.","Sir, ₹7000 abhi de sakta hun. Baki ₹7000 kal payment karta hun",refusal,28,25000,personal loan EMI,cooperative,bangalore,kal,25000,,partial payment,True,False
Boss ₹50000 credit line EMI pending hai. Late fees bhi lag rahi hai. Chaliye kuch karte hain.,enti chal chal kuch din baad karta hun. Abhi thoda busy hun,refusal,26,50000,credit line EMI,evasive,hyderabad,,,,,False,False
"Rajesh ji, aapka ₹6500 ka EMI 14 din se overdue hai. Late fees lag rahi hai. Aap aaj hi UPI se payment karein: https://upi.link","Re, paisa nahi h. Mere business mein problem chal rahi hai. Mere paas abhi 5 din aur lagega. Isme kuch nahi ho sakta? 😓",needs_more_time,14,6500,business loan EMI,evasive,bangalore,5 days,,,business_problem,False,False
"₹9500 ki EMI 29 din se overdue hai, late fees lag rahi hai. Aapka CIBIL score bhi impact ho sakta hai. Aaj settle karein?","Kay karu bhai, business bandh ho gaya hai. Mera loan maaf karo plz 🤕",needs_more_time,29,9500,business loan EMI,worried,mumbai,,,,business closure,True,False
"Sir ₹50000 EMI due ho gayi hai, ₹5000 abhi bhej sakte hain? UPI link bhejta hun. Late fees ₹500 lag sakte hain.","₹2000 abhi bhejta hun, baaki 10 tarikh ko pakka, late fees maaf kar dena sir 🤔",partial_payment,9,50000,BNPL payment,polite,bangalore,10,50000,,,False,False
"Ankit yaar, ₹10000 EMI 20 din due thi. Turant payment karna hoga, nahi to CIBIL score affect hoga. UPI se kar dein: rzp.io/pay","sun bhai, kal hi kar dunga. Bol kya kar sakte hain agar payment miss ho gayi toh?",promise_to_pay,20,10000,mobile loan EMI,worried,delhi,yesterday,10000,,,True,False
"Rajesh ji, ₹9000 ka EMI pending hai. CIBIL score par asar pad sakta hai, jaldi payment karo","Bhai ₹4000 abhi bhej sakta hun, baaki 15 din mein zaroor",partial_payment,24,9000,personal loan EMI,cooperative,delhi,15,9000,,unemployment,True,False
Sir ₹6500 ka bike loan EMI 26 din se due hai. Aapko ₹500 late fees bhi dena padega. CIBIL score par bhi asar padega.,"Sorry sir, maine kuch din pehle ₹5000 transfer kiya tha. Abhi ₹1500 aur bhej raha hun. Please adjust kar lo. 🙏🙏",dispute,26,6500,bike loan EMI,polite,bangalore,,,partial_payment,partial_payment,True,False
"Rahul ji, ₹4200 EMI 26 din ho gaye. Late fees bhi lag rahi hai. UPI se payment kar dein: rzp.io/pay. CIBIL score bhi affect hoga.","sorry anna, account mein paise nhi hain, kal tak koshish karta hoon",promise_to_pay,26,4200,BNPL payment,worried,hyderabad,tomorrow,,,account,True,False
"Priya ji, ₹10000 ka EMI due hai. Aap UPI maadtini ₹10000 bhej sakte hain. Payment link: <link>","Sorry sir, abhi nahi ho paega. Kal tak kar deta hun 🤞",refusal,8,10000,personal loan EMI,worried,bangalore,tomorrow,10000,,temporary financial difficulty,False,False
"Anjali ji, ₹6000 EMI 48 din se overdue hai. Aapka CIBIL score affect ho raha hai. Hum aapko settlement offer kar sakte hain. UPI se payment karein: rzp.io/pay","Abhi nahi kar paunga bhai, kuch din ka time dein. Salary aane ke baad kar dunga 🙏",promise_to_pay,48,6000,credit line EMI,worried,hyderabad,,,,financial constraint,True,False
"Sir, aapka ₹8000 ka EMI 90 din se due hai, please UPI maadtini karke payment karein.","Mujhe pata hai sir, lekin mere pass abhi paise nai hain. Main 2 hafte mein payment karunga.",dispute,90,8000,credit line EMI,evasive,bangalore,,,,lack of funds,False,False
"Re ₹7500 bike loan EMI, RBI guidelines ke mutabiq CIBIL score affect hoga, aaj hi payment karein","Nako, paisa nahi hai, kuchh din aur do, UPI kar dunga, thoda patience karo 🤞",needs_more_time,53,7500,bike loan EMI,worried,mumbai,few days,7500,,personal issues,True,False
"Priya ji, ₹10000 EMI 86 days overdue hai. UPI se payment karein?","Kay, ₹5000 abhi bhej sakti hun, baaki 1 hafte mein",partial_payment,86,10000,credit line EMI,cooperative,mumbai,7,5000,,,False,False
"Sunil ₹62000 49 din se EMI pending hai, anna late fees lag rahi hai. Aaj turant contact karein, legal notice jaari ho jayega.","yar paisa nhi h, kuch nahi kar sakte",needs_more_time,49,62000,bike loan EMI,resigned,hyderabad,,,,financial problem,False,True
₹15000 EMI overdue hai. Late fees ₹500 lagu hoga. Aap ₹7500 abhi bhej sakte hain?,"Enti, ₹5000 abhi bhejta hun. Baaki 10 tarikh ko bhejunga. 🙏",partial_payment,6,15000,BNPL payment,evasive,hyderabad,10th,5000,,vague timeline,False,False
Sir ₹42000 EMI 15 days overdue hai. Late fees ₹5000 lagenge.,"Bhai ₹15000 abhi bhejta hun, baaki 3 hafte mein, payment link bhejna",partial_payment,15,42000,business loan EMI,desperate,hyderabad,21,27000,,personal emergency,False,False
"Amit bhai, ₹2500 EMI 79 din late ho gayi. Sun, abhi payment karein: rzp.io/pay. Settlement offer hai, 10% late fees maaf kar denge","Theek hai bhi, kal tak kar dunga. Ghar mein kuch problem thi. Pakka kal tak payment ho jayegi 🙏",promise_to_pay,79,2500,credit line EMI,cooperative,delhi,kal,2500,,ghar problem,False,False
"Priya ji, ₹3000 ka payment 25 din se pending hai. Settlement karne ke liye call karein.","Sorry sir, maine kal payment kiya tha. Transaction Reference number bhej sakta hu.",dispute,25,3000,BNPL payment,desperate,bangalore,,,payment already made,delayed payment,False,False
"Suresh ji, ₹22000 EMI 16 din overdue. Late fees bhi lag rahi hain. Abhi karein: rzp.io/pay","Bhai, company mein kuch issue hai, next week ko karunga",promise_to_pay,16,22000,business loan EMI,worried,bangalore,next week,22000,,company issue,False,False
"Arre, Suresh ji, ₹1800 EMI 15 din overdue. Nako, abhi payment karein: rzp.io/pay. Late fees ke saath.","Sorry bhaii, galti se miss ho gaya. Abhi kar dunga 🙏",promise_to_pay,15,1800,personal loan EMI,worried,bangalore,abhi,1800,,oversight,False,False
₹4500 ka EMI 57 din se overdue hai. Aapko late fees ka notice bheja gaya hai. Turant payment karein.,"Sorry sir, mummy hospital mein hain, 10 din mein payment kar dunga",needs_more_time,57,4500,credit line EMI,worried,bangalore,10,4500,,health_issue,False,False
"Amit ji ₹6000 EMI 30 din se pending hai. Late fees lagu hoga, abhi UPI se kar dein: rzp.io/pay","bol, payment ho gayi thi, aapko pata nai",promise_to_pay,30,6000,business loan EMI,angry,delhi,,,payment,,False,False
"Yaar bhai ₹8500 EMI miss ho gayi, 82 days ho gaye. Turant payment karein, CIBIL score bhi kharab ho sakta hai.","Bhai mera business thoda slow chal raha hai, maine UPI se ₹5000 bhej diya tha aap logon ko. Baki amount kab tak de sakte hain?",dispute,82,8500,business loan EMI,polite-firm,delhi,next week,3500,partial payment,business slow,True,False
Suresh ji ₹8000 EMI overdue hai. CIBIL score par asar pad sakta hai. Turant ₹4000 payment karein.,"Bhai, ₹4000 toh abhi bhej diya. Baaki 2 hafte mein zarur karenge. Pakka",partial_payment,5,8000,credit line EMI,cooperative,delhi,14,4000,,temporary financial difficulty,True,False
"Sunil bhai, ₹15000 ka EMI 24 din se overdue hai. UPI se turant payment karein, nahi toh settlement ka option nahi milega.","₹7500 abhi bhejta hun, baaki 15 tarikh ko denge, lekin interest maaf kar do.",partial_payment,24,15000,mobile loan EMI,desperate,bangalore,15 days,7500,,financial difficulties,False,False
Sir ₹25000 baki hai aur 74 days ho gaye hain. CIBIL score affect hoga. UPI maadtini ₹5000 ka settlement offer hai,Illa bekku. ₹5000 abhi nahi de sakte,refusal,74,25000,BNPL payment,polite,bangalore,,,,financial difficulties,True,False
"Meena bhai, ₹15000 personal loan EMI pending hai. Sun, turant payment karein, nahi to late fees increase hoga.","Abhi nahi kar sakta, paisa nahi hai",refusal,14,15000,personal loan EMI,angry,bangalore,,,,insufficient funds,False,False
"Arre Rajesh ji ₹15000 pending hai, aapka EMI 34 din se overdue hai. Nako payment karein to humein aapke against legal action lena padega.","Kya karu re, abhi thoda time de do. Kay karna ho karo, par paisa nahi hai abhi. 😓",refusal,34,15000,mobile loan EMI,polite-firm,mumbai,,,,lack of funds,False,True
"Vikram sir, ₹12000 bike loan EMI bahut overdue hai. CIBIL score kharab ho sakta hai, turant UPI se payment karein.","Yaar, business mein thoda problem hai, 10 din mein ek baar mein payment kar dunga, bekku sir",needs_more_time,15,12000,bike loan EMI,cooperative,bangalore,10 din mein,12000,,,True,False
"₹3500 business loan EMI 3 din se pending hai, sir. Bekku settle karein, CIBIL score bhi kharaab nahi hoga.","Yaar, ghar mein marriage hai, abhi thoda tight hoon, 15 din mein double kar dunga.",needs_more_time,3,3500,business loan EMI,cooperative,bangalore,15 days,7000,,family event,True,False
"Yaar ₹20000 ki payment 14 din ho gaye hue hai. Pakka aap bhool gaye honge. Turant payment karein, bhai: https://upi.link/1234","Abhi nai kar sakta, court mein milte hain 😒",refusal,14,20000,BNPL payment,resigned,delhi,,,threat of legal action,no excuse,False,True
"Rohan bhai, ₹30000 mobile loan EMI 20 din se pending hai. Turant payment karein, nahi toh CIBIL score impact hoga.","Yaar, ₹6000 abhi bhej raha hun. Baaki 10 din mein pakka karta hun.",partial_payment,20,30000,mobile loan EMI,polite,delhi,10,30000,,,True,False
"Hi anna, ₹10000 EMI 72 days overdue. Late fees bhi lagega. Abhi UPI se settle karein: rzp.io/pay 🙏","sorry boss, salaried account se transfer karunga. Monday ko definitely transfer karunga. Late fees kitna hoga? 🤕",promise_to_pay,72,10000,business loan EMI,polite,hyderabad,Monday,10000,,busy,False,False
"Priya ji, ₹10000 ka EMI due hai. Aap UPI maadtini ₹10000 bhej sakte hain. Payment link: <link>","Sorry sir, abhi nhi ho paega. Kal tak kar deta hun 🤞",refusal,8,10000,personal loan EMI,worried,bangalore,tomorrow,10000,,temporary financial difficulty,False,False
"Suresh ji, bike loan EMI ₹6500 ke 12 din ho gaye, late fees lag rahi hai, aapko CIBIL score par bhi impact padega, aaj hi payment karein.","Re, mummy hospital mein hain, 10 din aur do please, uske baad zarur kar dunga",needs_more_time,12,6500,bike loan EMI,desperate,mumbai,10 days,6500,,family problem,True,False
"Sagar ji, ₹28000 EMI pending hai. CIBIL score kharab ho jayega agar payment nahi kiya.","Re, ₹14000 abhi bhejta hun, baaki 12 tarikh ko zaroor bhejunga. Sorry, thoda time lagega.",partial_payment,27,28000,business loan EMI,worried,mumbai,12,14000,,time constraint,True,False
"Rohan ji, ₹18000 ka EMI due hai. Late fees ₹150 already add ho gaya hai. Aap ₹18150 bhej sakte hain. Payment link: <link>",Abhi nahi kar sakta. Court mein milte hain.,refusal,8,18000,personal loan EMI,angry,bangalore,,,,aggressive,False,True
"Rohan ji, ₹2500 ki EMI 19 din ho gaye hain overdue. Late fees bhi lag raha hai. Turant UPI se payment karein: rzp.io/pay. CIBIL score bhi affect ho sakta hai.","yaar kal salary aayegi, usse pehle kar dunga, sorry bhai 🙏",promise_to_pay,19,2500,business loan EMI,polite,delhi,kal,2500,,salary,True,False
"Anna, ₹12000 EMI pending hai. CIBIL score bhi impact hoga. Full payment kab kar rahe hain?","boss, 6000 abhi de deta hun baaki 10 din mein, okay ra? ✅",partial_payment,77,12000,credit line EMI,cooperative,hyderabad,10,6000,,temporary financial difficulty,True,False
"Sunil ji ₹5500 ka BNPL payment 23 din se pending hai, aapko ₹5500 payment karna hoga. CIBIL score impact hoga.","Sorry bhai, maine ₹5000 payment kar diya tha 5 din pehle, ₹500 extra kyun maang rahe ho?",dispute,23,5500,BNPL payment,worried,delhi,5 days ago,5000,payment made,technical issue,True,False
"Sir, aapke bike loan EMI ₹2800 32 din se overdue hai. Legal notice bhejne ki taiyari hai. UPI se abhi payment karein?","Abhi toh nahi ho payega, 10 din mein try karta hoon, aap bekku nahi do 🙏",needs_more_time,32,5600,bike loan EMI,worried,bangalore,10 din mein,5600,,Personal problems,False,True
"Amit ji, ₹11000 due hai. Late fees bhi lag rahe hain, sun lijiye aapki CIBIL score par asar pad sakta hai.","yeh amount galat hai, mera loan 9000 ka tha, extra charges kyun",dispute,28,11000,BNPL payment,angry,mumbai,,,amount, billing error,True,False
"₹9000 EMI overdue hai, 67 days ho gaye hain. Full payment karein ya humein settlement ke liye call karein. Legal notice aa sakta hai.","Sorry boss ₹3000 abhi bhej sakta hun, baaki 10 din mein pakka, please samajh lein",partial_payment,67,9000,BNPL payment,worried,hyderabad,10 days,3000,,,False,True
"Rohan ji ₹28000 EMI kafi time se due hai, aap abhi settle karein to late fees maaf kar dunga.","sir next month 2 EMI ek saath kar dunga, abhi paisa nahi hain. 😔",needs_more_time,8,28000,mobile loan EMI,cooperative,chennai,next month,56000,,financial problem,True,False
